id,center,name,title,mentor
1,计算机体系结构中心,周锋,教授,N/A
2,计算机体系结构中心,戴志涛,教授,硕士生导师
3,计算机体系结构中心,姚文斌,教授,博士生导师
4,计算机体系结构中心,方沛宇,教授,博士生导师
5,计算机体系结构中心,杨旭东,副教授,N/A
6,计算机体系结构中心,李士刚,教授,博士生导师
7,计算机体系结构中心,方维,副教授,硕士生导师
8,计算机体系结构中心,余文,N/A,硕士生导师
9,计算机体系结构中心,裴颂伟,副教授,博/硕导
10,计算机体系结构中心,梁洪亮,副教授,博士生导师
11,计算机体系结构中心,易秋萍,副研究员,博士生导师
12,计算机体系结构中心,黄智濒,讲师,硕士生导师
13,计算机体系结构中心,罗娟娟,讲师,硕士生导师
14,计算机应用技术中心,杜军平,教授,博士生导师
15,计算机应用技术中心,孟祥武,教授,博士生导师
16,计算机应用技术中心,邓芳,副教授,硕士生导师
17,计算机应用技术中心,叶文,副教授,N/A
18,计算机应用技术中心,刘晓鸿,副教授,N/A
19,计算机应用技术中心,王晓茹,副教授,硕士生导师
20,计算机应用技术中心,潘维民,副教授,硕士生导师
21,计算机应用技术中心,梁美玉,教授,博士生导师
22,计算机应用技术中心,薛哲,副教授,博士生导师
23,计算机应用技术中心,邵蓥侠,教授,博士生导师
24,计算机应用技术中心,肖晨,讲师,N/A
25,计算机应用技术中心,刘炳言,副研究员,博士生导师
26,计算机应用技术中心,叶冠华,副研究员,硕士生导师
27,计算机软件与理论中心,牛少彰,教授,博士生导师
28,计算机软件与理论中心,张雷,教授,硕士生导师
29,计算机软件与理论中心,左兴权,教授,博士生导师
30,计算机软件与理论中心,徐六通,教授,N/A
31,计算机软件与理论中心,杨娟,副教授,硕士生导师
32,计算机软件与理论中心,赵晶玲,N/A,N/A
33,计算机软件与理论中心,王鹏飞,副教授,博士生导师
34,计算机软件与理论中心,杨亚,副教授,硕士生导师
35,计算机软件与理论中心,陈洪,副教授,博士生导师
36,计算机软件与理论中心,谷勇浩,讲师,硕士生导师
37,计算机软件与理论中心,黄海,讲师,硕士生导师
38,计算机软件与理论中心,杜晓峰,讲师,N/A
39,计算机软件与理论中心,许可,N/A,N/A
40,计算机软件与理论中心,张艳梅,讲师,N/A
41,计算机软件与理论中心,袁宝库,讲师,N/A
42,计算机软件与理论中心,周春燕,N/A,N/A
43,计算机软件与理论中心,张继威,讲师,硕士生导师
44,大数据与云服务中心,邝坚,教授,硕士生导师
45,大数据与云服务中心,张笑燕,教授,博士生导师
46,大数据与云服务中心,牛琨,教授,博士生导师
47,大数据与云服务中心,郭文明,教授,博士生导师
48,大数据与云服务中心,郭迎,教授,博士生导师
49,大数据与云服务中心,李朝晖,副教授,硕士生导师
50,大数据与云服务中心,王祎,教授,博士生导师
51,大数据与云服务中心,杨谈,副教授,硕士生导师
52,大数据与云服务中心,卢本捷,N/A,N/A
53,大数据与云服务中心,高慧,副教授,硕士生导师
54,大数据与云服务中心,杜晓婷,讲师,N/A
55,大数据与云服务中心,侯鲁洋,副研究员,博士生导师
56,软件系统与工程中心,赵方,教授,博士生导师
57,软件系统与工程中心,杨正球,教授,硕士生导师
58,软件系统与工程中心,漆涛,教授,硕士生导师
59,软件系统与工程中心,邱莉榕,教授,博士生导师
60,软件系统与工程中心,刘辰,副教授,硕士生导师
61,软件系统与工程中心,袁玉宇,副教授,博士生导师
62,软件系统与工程中心,修佳鹏,副教授,硕士生导师
63,软件系统与工程中心,夏亚梅,副教授,博士生导师
64,软件系统与工程中心,陈晋鹏,副教授,博士生导师
65,软件系统与工程中心,韩万江,副教授,硕士生导师
66,软件系统与工程中心,杨金翠,N/A,硕士生导师
67,软件系统与工程中心,邵文华,讲师,N/A
68,软件系统与工程中心,寇菲菲,讲师,硕士生导师
69,网络与通信软件中心,王文东,教授,博士生导师
70,网络与通信软件中心,陆天波,教授,博士生导师
71,网络与通信软件中心,傅湘玲,教授,博士生导师
72,网络与通信软件中心,崔毅东,副教授,N/A
73,网络与通信软件中心,雷友珣,副教授,硕士生导师
74,网络与通信软件中心,张宇超,副教授,N/A
75,网络与通信软件中心,谢坤,讲师,N/A
76,网络与通信软件中心,刘巍,副教授,N/A
77,网络与通信软件中心,王泉,副研究员,博士生导师
78,网络技术中心,马跃,副教授,N/A
79,网络技术中心,卞佳丽,教授,硕士生导师
80,网络技术中心,周安福,教授,博士生导师
81,网络技术中心,明安龙,教授,博士生导师
82,网络技术中心,王莉,教授,博士生导师
83,网络技术中心,魏更宇,副教授,N/A
84,网络技术中心,高占春,副教授,硕士生导师
85,网络技术中心,蒋砚军,副教授,N/A
86,网络技术中心,杨俊,副教授,博士生导师
87,网络技术中心,张冬梅,副教授,硕士生导师
88,网络技术中心,张海旸,副教授,硕士生导师
89,网络技术中心,杨震,副教授,硕士生导师
90,网络技术中心,张成文,副教授,硕士生导师
91,网络技术中心,康学净,副教授,博士生导师
92,网络技术中心,张雪松,副教授,硕士生导师
93,网络技术中心,郭岗,N/A,N/A
94,网络技术中心,程莉,副教授,N/A
95,网络技术中心,陈莉萍,N/A,N/A
96,网络技术中心,王尊亮,N/A,N/A
97,网络技术中心,刘伟,讲师,硕士生导师
98,网络技术中心,吴鑫,讲师,硕士生导师
99,网络技术中心,刘娜,副研究员,硕士生导师
100,物联网技术中心,马华东,教授,N/A
101,物联网技术中心,刘亮,教授,N/A
102,物联网技术中心,罗红,教授,博士生导师
103,物联网技术中心,孙岩,教授,博士生导师
104,物联网技术中心,李文生,副教授,硕士生导师
105,物联网技术中心,段鹏瑞,副教授,硕士生导师
106,物联网技术中心,张海涛,教授,博士生导师
107,物联网技术中心,傅慧源,教授,博士生导师
108,物联网技术中心,赵东,教授,博士生导师
109,物联网技术中心,郑霄龙,副教授,博士生导师
110,物联网技术中心,齐梦实,研究员,博士生导师
111,信息网络中心,黄小红,教授,博士生导师
112,信息网络中心,李丹丹,副教授,硕士生导师
113,信息网络中心,林昭文,教授,N/A
114,信息网络中心,张树壮,N/A,N/A
115,信息网络中心,张沛,副教授,博士生导师
116,信息网络中心,孙溢,副教授,硕士生导师
117,信息网络中心,吴军,讲师,N/A
118,信息网络中心,黄俊飞,讲师,N/A
119,数据科学与服务中心,吴斌,教授,博士生导师
120,数据科学与服务中心,王柏,教授,博士生导师
121,数据科学与服务中心,宋美娜,教授,博士生导师
122,数据科学与服务中心,石川,教授,博士生导师
123,数据科学与服务中心,周文安,副教授,博士生导师
124,数据科学与服务中心,于艳华,副教授,博士生导师
125,数据科学与服务中心,欧中洪,教授,博士生导师
126,数据科学与服务中心,鄂海红,教授,博士生导师
127,数据科学与服务中心,李劼,讲师,硕士生导师
128,数据科学与服务中心,肖丁,N/A,N/A
129,数据科学与服务中心,王晓晖,讲师,N/A
130,数据科学与服务中心,袁燕妮,讲师,N/A
131,数据科学与服务中心,皮人杰,讲师,N/A
132,数据科学与服务中心,张光卫,讲师,N/A
133,数据科学与服务中心,杨成,副教授,N/A
134,数据科学与服务中心,白婷,讲师,N/A
135,数据科学与服务中心,尧思远,讲师,N/A
136,数据科学与服务中心,朱一凡,副研究员,硕士生导师
137,交换与智能控制研究中心,杨放春,教授,博士生导师
138,交换与智能控制研究中心,苏森,教授,N/A
139,交换与智能控制研究中心,邹华,教授,硕士生导师
140,交换与智能控制研究中心,王红熳,教授,硕士生导师
141,交换与智能控制研究中心,闫丹凤,教授,博士生导师
142,交换与智能控制研究中心,李静林,教授,博士生导师
143,交换与智能控制研究中心,双锴,教授,博士生导师
144,交换与智能控制研究中心,王尚广,教授,博士生导师
145,交换与智能控制研究中心,孙其博,N/A,博士生导师
146,交换与智能控制研究中心,徐鹏,副教授,博士生导师
147,交换与智能控制研究中心,赵耀,副教授,N/A
148,交换与智能控制研究中心,王玉龙,副教授,博士生导师
149,交换与智能控制研究中心,林荣恒,教授,博士生导师
150,交换与智能控制研究中心,程祥,教授,N/A
151,交换与智能控制研究中心,张忠宝,副教授,博士生导师
152,交换与智能控制研究中心,周傲,副教授,博士生导师
153,交换与智能控制研究中心,徐梦炜,副教授,博士生导师
154,交换与智能控制研究中心,张海滨,N/A,N/A
155,交换与智能控制研究中心,袁泉,副教授,博士生导师
156,交换与智能控制研究中心,马骁,讲师,硕士生导师
157,交换与智能控制研究中心,蔡院强,讲师,硕士生导师
158,交换与智能控制研究中心,罗贵阳,N/A,N/A
159,交换与智能控制研究中心,张乙然,副研究员,博士生导师
160,网络体系结构研究中心,许长桥,教授,博士生导师
161,网络体系结构研究中心,谢东亮,教授,博士生导师
162,网络体系结构研究中心,龚向阳,教授,博士生导师
163,网络体系结构研究中心,胡博,教授,博士生导师
164,网络体系结构研究中心,卢美莲,教授,硕士生导师
165,网络体系结构研究中心,关建峰,副教授,硕士生导师
166,网络体系结构研究中心,熊永平,副教授,博士生导师
167,网络体系结构研究中心,田野,副教授,博士生导师
168,网络体系结构研究中心,李昕,N/A,硕士生导师
169,网络体系结构研究中心,阙喜戎,副教授,硕士生导师
170,网络体系结构研究中心,王洪波,副教授,博士生导师
171,网络体系结构研究中心,李玉宏,副教授,硕士生导师
172,网络体系结构研究中心,张雷,副教授,硕士生导师
173,网络体系结构研究中心,时岩,副教授,N/A
